suite,opponent,board_id,games_per_policy,v2_win,v2_loss,v2_draw,v3_win,v3_loss,v3_draw
local,hunter,63,4,4,0,0,4,0,0
external,amin-main8-iter160,0,4,2,2,0,0,4,0
external,amin-main8-iter160,1,4,2,2,0,2,2,0
external,amin-main8-iter160,2,4,2,2,0,2,2,0
external,amin-main8-iter160,3,4,0,4,0,2,2,0
external,amin-main8-iter160,4,4,4,0,0,2,2,0
external,amin-main8-iter160,5,4,4,0,0,4,0,0
external,amin-main8-iter160,6,4,2,2,0,2,2,0
external,amin-main8-iter160,7,4,4,0,0,0,4,0
external,amin-main8-iter160,8,4,2,2,0,0,4,0
external,amin-main8-iter160,9,4,4,0,0,4,0,0
external,amin-main8-iter160,10,4,2,0,2,2,0,2
external,amin-main8-iter160,11,4,4,0,0,2,0,2
external,amin-main8-iter160,12,4,0,4,0,2,2,0
external,amin-main8-iter160,13,4,4,0,0,4,0,0
external,amin-main8-iter160,14,4,2,2,0,4,0,0
external,amin-main8-iter160,15,4,4,0,0,4,0,0
external,amin-main8-iter160,16,4,2,2,0,2,2,0
external,amin-main8-iter160,17,4,4,0,0,4,0,0
external,amin-main8-iter160,18,4,0,4,0,0,4,0
external,amin-main8-iter160,19,4,1,3,0,0,4,0
external,amin-main8-iter160,20,4,4,0,0,4,0,0
external,amin-main8-iter160,21,4,0,2,2,0,2,2
external,amin-main8-iter160,22,4,0,4,0,1,3,0
external,amin-main8-iter160,23,4,4,0,0,2,2,0
external,amin-main8-iter160,24,4,2,2,0,3,1,0
external,amin-main8-iter160,25,4,4,0,0,4,0,0
external,amin-main8-iter160,26,4,4,0,0,2,2,0
external,amin-main8-iter160,27,4,2,2,0,0,4,0
external,amin-main8-iter160,28,4,0,2,2,3,0,1
external,amin-main8-iter160,29,4,0,2,2,0,2,2
external,amin-main8-iter160,30,4,2,0,2,2,2,0
external,amin-main8-iter160,31,4,4,0,0,2,2,0
