opponent,seed,variant,board_id,games,base_grid_sha256,boards_archive_sha256,score,wins,losses,draws
amin,83000,v10,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v10,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v10,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v10,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.0,0,4,0
amin,83000,v10,4,4,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v10,5,4,7a4365133460c4753628efc1e0f2de6f90448e96aff16a6c23ac045eb05e905f,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.75,2,0,2
amin,83000,v10,6,4,e9260b96afd8a6a3ad991b278227c6b4cb08c5141eee0ae6bdf09e894325b486,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v10,7,4,41802f9bacd77dbac0eb765dc4afc57ccf7fca87d8622cfb3c3a2b89eb23b44a,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
hunter,93000,v6,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,1,4,71c2653d8afc23ec89bc3ad03a1a51b7038f0166187aa291bb335a93c541e8d6,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,2,4,d548b79064c297c1570325772591025ff9e9dcfec25a3b3d68fc3ae610c570f4,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,3,4,49802081a93386e375f8d1b386640aedc59e6d1d91ec6ae0453bbbf688952aeb,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,4,4,c7813a2bccc073dbe3e7f391415bfcccd20fa0e1e83772eb0019a699c92ff202,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,5,4,f52d6141e0bdb778ae8566deb2d3e54063bceb0dd278ce1964fbc218c31b4c9f,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,6,4,966fb086271b77a98d6349805b3e2fbe022d7117c14a5e8ab4d29b76777d71f8,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v6,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,0.5,2,2,0
hunter,93000,v9,1,4,71c2653d8afc23ec89bc3ad03a1a51b7038f0166187aa291bb335a93c541e8d6,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,2,4,d548b79064c297c1570325772591025ff9e9dcfec25a3b3d68fc3ae610c570f4,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,3,4,49802081a93386e375f8d1b386640aedc59e6d1d91ec6ae0453bbbf688952aeb,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,4,4,c7813a2bccc073dbe3e7f391415bfcccd20fa0e1e83772eb0019a699c92ff202,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,5,4,f52d6141e0bdb778ae8566deb2d3e54063bceb0dd278ce1964fbc218c31b4c9f,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,6,4,966fb086271b77a98d6349805b3e2fbe022d7117c14a5e8ab4d29b76777d71f8,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v9,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,1,4,71c2653d8afc23ec89bc3ad03a1a51b7038f0166187aa291bb335a93c541e8d6,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,2,4,d548b79064c297c1570325772591025ff9e9dcfec25a3b3d68fc3ae610c570f4,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,3,4,49802081a93386e375f8d1b386640aedc59e6d1d91ec6ae0453bbbf688952aeb,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,4,4,c7813a2bccc073dbe3e7f391415bfcccd20fa0e1e83772eb0019a699c92ff202,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,5,4,f52d6141e0bdb778ae8566deb2d3e54063bceb0dd278ce1964fbc218c31b4c9f,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,6,4,966fb086271b77a98d6349805b3e2fbe022d7117c14a5e8ab4d29b76777d71f8,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10-v6,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,0.5,2,2,0
hunter,93000,v10,1,4,71c2653d8afc23ec89bc3ad03a1a51b7038f0166187aa291bb335a93c541e8d6,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10,2,4,d548b79064c297c1570325772591025ff9e9dcfec25a3b3d68fc3ae610c570f4,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
hunter,93000,v10,3,4,49802081a93386e375f8d1b386640aedc59e6d1d91ec6ae0453bbbf688952aeb,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
